=== full logs ===
captured: 2026-09-06T08:48:08.752Z

smart-ac-queue  | 2026-09-06T08:37:58.901838530Z 2026-09-06T08:37:58.901Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:58.916613796Z 2026-09-06T08:37:58.916Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:58.932361202Z 2026-09-06T08:37:58.932Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:00.985584191Z 2026-09-06T08:38:00.985Z DEBUG [queue] send 1 -> ai-jobs
smart-ac-queue  | 2026-09-06T08:38:00.989793834Z 2026-09-06T08:38:00.989Z DEBUG [queue] send 1 -> ai-jobs
smart-ac-queue  | 2026-09-06T08:38:00.993935714Z 2026-09-06T08:38:00.993Z DEBUG [queue] send 1 -> ai-jobs
smart-ac-queue  | 2026-09-06T08:38:01.794847331Z 2026-09-06T08:38:01.794Z DEBUG [queue] send 1 -> actuator-jobs
smart-ac-queue  | 2026-09-06T08:38:01.802662162Z 2026-09-06T08:38:01.802Z DEBUG [queue] send 1 -> actuator-jobs
smart-ac-queue  | 2026-09-06T08:38:01.807236284Z 2026-09-06T08:38:01.807Z DEBUG [queue] send 1 -> actuator-jobs
smart-ac-queue  | 2026-09-06T08:38:06.369738170Z 2026-09-06T08:38:06.369Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:06.405370488Z 2026-09-06T08:38:06.405Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:06.406080943Z 2026-09-06T08:38:06.405Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:11.378465269Z 2026-09-06T08:38:11.378Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:11.407990211Z 2026-09-06T08:38:11.407Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:11.409527677Z 2026-09-06T08:38:11.409Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:16.388911124Z 2026-09-06T08:38:16.388Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:16.413126207Z 2026-09-06T08:38:16.412Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:16.413156136Z 2026-09-06T08:38:16.412Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:21.397061236Z 2026-09-06T08:38:21.396Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:21.422898144Z 2026-09-06T08:38:21.422Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:21.423334257Z 2026-09-06T08:38:21.423Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:26.406945810Z 2026-09-06T08:38:26.406Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:26.430602663Z 2026-09-06T08:38:26.430Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:26.430974650Z 2026-09-06T08:38:26.430Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:31.422040959Z 2026-09-06T08:38:31.421Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:31.434399666Z 2026-09-06T08:38:31.434Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:31.434745823Z 2026-09-06T08:38:31.434Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:36.429801412Z 2026-09-06T08:38:36.429Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:36.437525289Z 2026-09-06T08:38:36.437Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:36.437659595Z 2026-09-06T08:38:36.437Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:41.441783041Z 2026-09-06T08:38:41.441Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:41.444279706Z 2026-09-06T08:38:41.444Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:41.445429840Z 2026-09-06T08:38:41.445Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:46.451598773Z 2026-09-06T08:38:46.450Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:46.451630496Z 2026-09-06T08:38:46.451Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:46.451633762Z 2026-09-06T08:38:46.451Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:51.458346398Z 2026-09-06T08:38:51.457Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:51.458579640Z 2026-09-06T08:38:51.458Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:51.458872389Z 2026-09-06T08:38:51.458Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:56.463131086Z 2026-09-06T08:38:56.462Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:56.463540376Z 2026-09-06T08:38:56.463Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:38:56.463778207Z 2026-09-06T08:38:56.463Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:00.991148515Z 2026-09-06T08:39:00.990Z DEBUG [queue] send 1 -> ai-jobs
smart-ac-queue  | 2026-09-06T08:39:00.994992465Z 2026-09-06T08:39:00.994Z DEBUG [queue] send 1 -> ai-jobs
smart-ac-queue  | 2026-09-06T08:39:00.998999998Z 2026-09-06T08:39:00.998Z DEBUG [queue] send 1 -> ai-jobs
smart-ac-queue  | 2026-09-06T08:39:01.476153438Z 2026-09-06T08:39:01.475Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:01.476488482Z 2026-09-06T08:39:01.476Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:01.476726793Z 2026-09-06T08:39:01.476Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:06.484243106Z 2026-09-06T08:39:06.483Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:06.484276201Z 2026-09-06T08:39:06.483Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:06.484279598Z 2026-09-06T08:39:06.484Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:06.994381565Z 2026-09-06T08:39:06.994Z DEBUG [queue] send 1 -> ai-jobs
smart-ac-queue  | 2026-09-06T08:39:07.402844867Z 2026-09-06T08:39:07.402Z DEBUG [queue] send 1 -> actuator-jobs
smart-ac-queue  | 2026-09-06T08:39:11.494317957Z 2026-09-06T08:39:11.494Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:11.495314196Z 2026-09-06T08:39:11.495Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:11.495434884Z 2026-09-06T08:39:11.495Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:16.498232892Z 2026-09-06T08:39:16.497Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:16.498547143Z 2026-09-06T08:39:16.498Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:16.498771486Z 2026-09-06T08:39:16.498Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:21.508160697Z 2026-09-06T08:39:21.507Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:21.508417264Z 2026-09-06T08:39:21.508Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:21.508601238Z 2026-09-06T08:39:21.508Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:26.515866920Z 2026-09-06T08:39:26.515Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:26.516103167Z 2026-09-06T08:39:26.515Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:26.516195660Z 2026-09-06T08:39:26.516Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:31.527076202Z 2026-09-06T08:39:31.526Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:31.527394612Z 2026-09-06T08:39:31.527Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:31.527548957Z 2026-09-06T08:39:31.527Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:36.537816289Z 2026-09-06T08:39:36.537Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:39:36.537848513Z 2026-09-06T08:39:36.537Z DEBUG [queue] send 1 -> telemetry
